k       lamda   x       y
399      168     401     598
400      156     654     488
401      84      394     324
402      322     403     533
403      470     454     280
404      458     532     44
405      317     74      199
406      160     743     154
407      497     689     399
408      363     406     194
409      31      555     444
410      333     688     327
411      716     537     396
412      600     485     13
413      103     361     743
414      130     17      419
415      356     551     231
416      211     412     560
417      396     196     113
418      742     636     92
419      440     708     521
420      49      191     29
421      529     278     510
422      403     666     85
423      401     172     496
424      40      677     332
425      234     7       240
426      88      227     677
427      266     686     393
428      381     283     697
429      439     182     84
430      671     210     654
431      291     359     296
432      642     257     602
433      372     694     552
434      155     50      136
435      581     312     95
436      442     543     690
437      652     246     698
438      41      684     119
439      228     232     50
440      86      405     92
441      385     624     456
442      502     546     399
443      619     356     55
444      286     332     50
445      42      681     312
446      76      589     672
447      624     520     328
448      140     305     483
449      350     533     74
450      432     594     610
451      606     154     176
452      501     13      622
453      19      348     523
454      691     248     236
455      596     496     654
456      423     446     219
457      589     264     337
458      620     375     686
459      129     495     356
460      666     722     164
461      577     265     675
462      157     352     686
463      562     72      466
464      116     617     149
465      394     664     108
466      521     417     158
467      601     304     165
468      192     512     453
469      537     224     248
470      271     370     740
471      275     155     558
472      132     747     153
473      431     268     522
474      65      202     13
475      80      190     196
476      588     94      678
477      171     609     626
478      342     701     203
479      424     337     178
480      405     721     510
481      371     238     696
482      522     384     445
483      450     97      284
484      61      620     106
485      604     712     651
486      224     649     694
487      446     3       540
488      55      18      137
489      404     231     176
490      334     177     587
491      120     705     639
492      582     69      21
493      452     714     578
494      96      241     521
495      38      452     473
496      70      693     681
497      176     243     415
498      609     395     141
499      739     500     368
500      386     549     244
501      220     538     674
502      122     77      745
503      590     310     720
504      740     562     550
505      611     263     397
506      397     387     692
507      550     211     731
508      411     486     396
509      357     44      439
510      138     225     117
511      109     391     564
512      206     740     389
513      67      745     27
514      58      366     176
515      100     622     509
516      63      343     546
517      480     251     56
518      648     595     79
519      310     128     499
520      353     566     344
521      57      430     649
522      570     38      495
523      517     646     589
524      563     152     414
525      272     234     563
526      341     393     41
527      689     447     303
528      20      704     565
529      715     592     660
530      565     209     198
531      725     467     502
532      658     672     539
533      112     607     733
534      300     24      686
535      232     479     396
536      207     314     715
537      25      311     111
538      301     170     274
539      48      632     80
540      419     697     472
541      179     553     521
542      462     358     200
543      10      493     703
544      447     301     258
545      556     174     511
546      113     579     286
547      197     680     94
548      78      147     175
549      438     192     392
550      4       575     329
551      60      21      618
552      548     634     657
553      479     503     510
554      487     101     4
555      554     407     198
556      352     333     316
557      505     103     180
558      421     653     329
559      307     472     415
560      51      627     692
561      379     324     744
562      22      160     611
563      208     297     182
564      366     732     571
565      464     529     497
566      128     84      138
567      24      492     584
568      698     64      13
569      628     45      654
570      607     414     663
571      66      187     50
572      183     258     475
573      111     47      416
574      656     717     150
575      603     159     627
576      370     59      325
577      241     195     694
578      44      239     374
579      729     245     509
580      632     398     425
581      336     599     380
582      331     67      729
583      151     204     363
584      265     178     519
585      43      169     619
586      748     591     647
587      524     621     155
588      175     715     668
589      722     126     275
590      631     5       225
591      721     144     190
592      369     86      184
593      513     233     256
594      599     341     389
595      337     578     99
596      605     461     92
597      45      62      590
598      597     373     742
599      454     720     181
600      515     153     436
601      290     586     162
602      329     262     543
603      465     426     550
604      115     32      451
605      284     267     399
606      422     581     20
607      731     570     511
608      493     657     156
609      250     261     463
610      196     605     454
611      591     212     501
612      702     687     244
613      225     372     37
614      633     34      633
615      361     364     397
616      194     473     236
617      376     466     143
618      180     392     410
619      389     729     673
620      123     131     34
621      714     487     371
622      330     269     224
623      354     381     682
624      602     41      477
625      552     508     83
626      165     432     441
627      699     19      613
628      724     710     20
629      375     229     115
630      153     650     58
631      308     339     353
632      587     272     675
633      476     253     108
634      557     584     271
635      185     597     328
636      210     696     661
637      145     52      346
638      736     173     718
639      575     12      235
640      489     291     16
641      182     540     477
642      359     671     558
643      683     198     322
644      178     695     581
645      345     423     135
646      74      547     452
647      261     735     46
648      443     254     504
649      240     270     162
650      91      501     596
651      663     484     161
652      133     683     408
653      121     440     457
654      304     354     153
655      674     318     79
656      188     480     256
657      139     66      214
658      191     367     122
659      339     402     29
660      242     335     414
661      305     317     570
662      247     612     163
663      142     26      439
664      118     380     596
665      216     465     570
666      170     648     613
667      406     470     310
668      647     583     177
669      28      201     5
670      383     43      429
671      630     329     382
672      16      678     42
